[31-Mar-2014 17:09:33 Europe/Berlin] PHP Warning:  require(/Users/demo/projects/iminds-media-vs-muziek/bootstrap/../vendor/autoload.php): failed to open stream: No such file or directory in /Users/demo/projects/iminds-media-vs-muziek/bootstrap/autoload.php on line 17
[01-Apr-2014 18:20:30 UTC] PHP Fatal error:  Call to a member function toArray() on a non-object in /Users/demo/projects/iminds-media-vs-muziek/app/routes.php on line 115
[01-Apr-2014 18:25:12 UTC] PHP Fatal error:  Call to a member function toArray() on a non-object in /Users/demo/projects/iminds-media-vs-muziek/app/routes.php on line 115
[01-Apr-2014 18:26:13 UTC] PHP Fatal error:  Call to a member function toArray() on a non-object in /Users/demo/projects/iminds-media-vs-muziek/app/routes.php on line 115
[01-Apr-2014 18:26:13 UTC] PHP Fatal error:  Call to a member function toArray() on a non-object in /Users/demo/projects/iminds-media-vs-muziek/app/routes.php on line 115
[01-Apr-2014 18:26:13 UTC] PHP Fatal error:  Call to a member function toArray() on a non-object in /Users/demo/projects/iminds-media-vs-muziek/app/routes.php on line 115
[01-Apr-2014 18:26:13 UTC] PHP Fatal error:  Call to a member function toArray() on a non-object in /Users/demo/projects/iminds-media-vs-muziek/app/routes.php on line 115
[01-Apr-2014 18:26:13 UTC] PHP Fatal error:  Call to a member function toArray() on a non-object in /Users/demo/projects/iminds-media-vs-muziek/app/routes.php on line 115
[01-Apr-2014 18:27:30 UTC] PHP Fatal error:  Call to a member function toArray() on a non-object in /Users/demo/projects/iminds-media-vs-muziek/app/routes.php on line 115
[01-Apr-2014 18:28:04 UTC] PHP Fatal error:  Call to a member function toArray() on a non-object in /Users/demo/projects/iminds-media-vs-muziek/app/routes.php on line 115
[01-Apr-2014 18:28:04 UTC] PHP Fatal error:  Call to a member function toArray() on a non-object in /Users/demo/projects/iminds-media-vs-muziek/app/routes.php on line 115
[01-Apr-2014 18:32:09 UTC] PHP Fatal error:  Call to a member function toArray() on a non-object in /Users/demo/projects/iminds-media-vs-muziek/app/routes.php on line 115
[01-Apr-2014 18:32:09 UTC] PHP Fatal error:  Call to a member function toArray() on a non-object in /Users/demo/projects/iminds-media-vs-muziek/app/routes.php on line 115
[01-Apr-2014 18:33:13 UTC] PHP Fatal error:  Call to a member function toArray() on a non-object in /Users/demo/projects/iminds-media-vs-muziek/app/routes.php on line 115
[01-Apr-2014 18:33:13 UTC] PHP Fatal error:  Call to a member function toArray() on a non-object in /Users/demo/projects/iminds-media-vs-muziek/app/routes.php on line 115
[01-Apr-2014 18:33:13 UTC] PHP Fatal error:  Call to a member function toArray() on a non-object in /Users/demo/projects/iminds-media-vs-muziek/app/routes.php on line 115
[01-Apr-2014 18:33:13 UTC] PHP Fatal error:  Call to a member function toArray() on a non-object in /Users/demo/projects/iminds-media-vs-muziek/app/routes.php on line 115
[01-Apr-2014 18:33:13 UTC] PHP Fatal error:  Call to a member function toArray() on a non-object in /Users/demo/projects/iminds-media-vs-muziek/app/routes.php on line 115
[01-Apr-2014 18:33:13 UTC] PHP Fatal error:  Call to a member function toArray() on a non-object in /Users/demo/projects/iminds-media-vs-muziek/app/routes.php on line 115
[01-Apr-2014 18:33:14 UTC] PHP Fatal error:  Call to a member function toArray() on a non-object in /Users/demo/projects/iminds-media-vs-muziek/app/routes.php on line 115
[01-Apr-2014 18:33:14 UTC] PHP Fatal error:  Call to a member function toArray() on a non-object in /Users/demo/projects/iminds-media-vs-muziek/app/routes.php on line 115
[01-Apr-2014 18:33:14 UTC] PHP Fatal error:  Call to a member function toArray() on a non-object in /Users/demo/projects/iminds-media-vs-muziek/app/routes.php on line 115
[01-Apr-2014 18:33:14 UTC] PHP Fatal error:  Call to a member function toArray() on a non-object in /Users/demo/projects/iminds-media-vs-muziek/app/routes.php on line 115
[01-Apr-2014 18:33:14 UTC] PHP Fatal error:  Call to a member function toArray() on a non-object in /Users/demo/projects/iminds-media-vs-muziek/app/routes.php on line 115
